proteins	genes	gene_name	kcat	rxns	notes	stoicho
Q01574	YAL054C	ACS1	62.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P52910	YLR153C	ACS2	62.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P00330	YOL086C	ADH1	900.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P10127	YGL256W	ADH4	900.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
Q04894	YMR318C	ADH6	900.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P47771	YMR170C	ALD2	31.7		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P54115	YPL061W	ALD6	22.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P32796	YML042W	CAT2	257.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P00549	YAL038W	CDC19	232.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P00890	YNR001C	CIT1	141.3		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P43635	YPR001W	CIT3	141.3		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P00925	YHR174W	ENO2	71.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P14540	YKL060C	FBA1	32.5		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P09201	YLR377C	FBP1	69.7		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P32614	YEL047C	FRD1	15.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P08417	YPL262W	FUM1	1035.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P04385	YBR020W	GAL1	22.3		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P04397	YBR019C	GAL10	40.8		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P08431	YBR018C	GAL7	36.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P17709	YCL040W	GLK1	274.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P38720	YHR183W	GND1	36.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P53319	YGR256W	GND2	36.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
Q00055	YDL022W	GPD1	113.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P41911	YOL059W	GPD2	113.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P00950	YKL152C	GPM1	576.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P40106	YER062C	HOR2	11.16		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P04806	YFR053C	HXK1	274.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P04807	YGL253W	HXK2	126.7		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P28240	YER065C	ICL1	13.2		MANUAL_CURATION; GECKO v2 manual_data.txt	1
Q12031	YPR006C	ICL2	13.2		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P28834	YNL037C	IDH	23.7		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P21954	YDL066W	IDPH	28.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P36013	YKL029C	MAE1	134.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1
P17505	YKL085W	MDH1	190.4		MANUAL_CURATION; GECKO v2 manual_data.txt	1
