proteins	genes	gene_name	kcat	rxns	notes	stoicho
P28332	ENSG00000172955	ADH6	7.8868	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=368; source=DLKcat	1
Q8N4Q0	ENSG00000180011	PTGR3	3.3644	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=377; source=DLKcat	1
P07327	ENSG00000187758	ADH1A	5.1837	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=375; source=DLKcat	1
P40394	ENSG00000196344	ADH7	7.0522	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=386; source=DLKcat	1
P00325	ENSG00000196616	ADH1B	37.0930	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=375; source=DLKcat	1
P11766	ENSG00000197894	ADH5	6.8564	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=374; source=DLKcat	1
P08319	ENSG00000198099	ADH4	9.1168	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=380; source=DLKcat	1
P00326	ENSG00000248144	ADH1C	1.8018	MAR03905	substrate=ethanol; SMILES=CCO; seq_len=375; source=DLKcat	1
P14550	ENSG00000117448	AKR1A1	1.0311	MAR03907	substrate=ethanol; SMILES=CCO; seq_len=325; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	17.7158	MAR04097	substrate=acetate; SMILES=CC(=O)[O-]; seq_len=701; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	20.8052	MAR04097	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=701; source=DLKcat	1
Q9H6R3	ENSG00000111058	ACSS3	15.8857	MAR04099	substrate=acetate; SMILES=CC(=O)[O-]; seq_len=686; source=DLKcat	1
Q9H6R3	ENSG00000111058	ACSS3	16.4666	MAR04099	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=686; source=DLKcat	1
Q9NUB1	ENSG00000154930	ACSS1	1.8455	MAR04099	substrate=acetate; SMILES=CC(=O)[O-]; seq_len=689; source=DLKcat	1
Q9NUB1	ENSG00000154930	ACSS1	2.3317	MAR04099	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=689; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	20.4119	MAR04108	substrate=acetyl adenylate; SMILES=CC(=O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O; seq_len=701; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	20.8052	MAR04108	substrate=CoA; SMILES=CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O; seq_len=701; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	17.7158	MAR04133	substrate=acetate; SMILES=CC(=O)[O-]; seq_len=701; source=DLKcat	1
Q9NR19	ENSG00000131069	ACSS2	16.8976	MAR04133	substrate=ATP; SMILES=C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N; seq_len=701; source=DLKcat	1
P07195	ENSG00000111716	LDHB	628.8016	MAR04281	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=334; source=DLKcat	1
P00338	ENSG00000134333	LDHA	403.6440	MAR04281	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=332; source=DLKcat	1
P07195	ENSG00000111716	LDHB	628.8016	MAR04388	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=334; source=DLKcat	1
P00338	ENSG00000134333	LDHA	403.6440	MAR04388	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=332; source=DLKcat	1
P07864	ENSG00000166796	LDHC	184.8595	MAR04388	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=332; source=DLKcat	1
Q6ZMR3	ENSG00000166800	LDHAL6A	45.6886	MAR04388	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=332; source=DLKcat	1
Q9BYZ2	ENSG00000171989	LDHAL6B	35.7593	MAR04388	substrate=pyruvate; SMILES=CC(=O)C(=O)[O-]; seq_len=381; source=DLKcat	1
P43353	ENSG00000006534	ALDH3B1	1.6055	MAR04283	substrate=acetaldehyde; SMILES=CC=O; seq_len=468; source=DLKcat	1
P30838	ENSG00000108602	ALDH3A1	3.4854	MAR04283	substrate=acetaldehyde; SMILES=CC=O; seq_len=453; source=DLKcat	1
P48448	ENSG00000132746	ALDH3B2	2.1477	MAR04283	substrate=acetaldehyde; SMILES=CC=O; seq_len=385; source=DLKcat	1
P47895	ENSG00000184254	ALDH1A3	4.3803	MAR04283	substrate=acetaldehyde; SMILES=CC=O; seq_len=512; source=DLKcat	1
P51648	ENSG00000072210	ALDH3A2	5.6134	MAR08357	substrate=acetaldehyde; SMILES=CC=O; seq_len=485; source=DLKcat	1
P05091	ENSG00000111275	ALDH2	7.0718	MAR08357	substrate=acetaldehyde; SMILES=CC=O; seq_len=517; source=DLKcat	1
P30837	ENSG00000137124	ALDH1B1	6.8609	MAR08357	substrate=acetaldehyde; SMILES=CC=O; seq_len=517; source=DLKcat	1
P49189	ENSG00000143149	ALDH9A1	0.2515	MAR08357	substrate=acetaldehyde; SMILES=CC=O; seq_len=494; source=DLKcat	1
P49419	ENSG00000164904	ALDH7A1	2.2746	MAR08357	substrate=acetaldehyde; SMILES=CC=O; seq_len=539; source=DLKcat	1
Q01813	ENSG00000067057	PFKP	21.1124	MAR04379	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=784; source=DLKcat	1
P17858	ENSG00000141959	PFKL	6.7561	MAR04379	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=780; source=DLKcat	1
P08237	ENSG00000152556	PFKM	9.7039	MAR04379	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=780; source=DLKcat	1
Q01813	ENSG00000067057	PFKP	21.1124	MAR04301	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=784; source=DLKcat	1
Q01813	ENSG00000067057	PFKP	6.9116	MAR04301	substrate=UTP; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O; seq_len=784; source=DLKcat	1
P17858	ENSG00000141959	PFKL	6.7561	MAR04301	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=780; source=DLKcat	1
P17858	ENSG00000141959	PFKL	2.9345	MAR04301	substrate=UTP; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O; seq_len=780; source=DLKcat	1
P08237	ENSG00000152556	PFKM	9.7039	MAR04301	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=780; source=DLKcat	1
P08237	ENSG00000152556	PFKM	7.1755	MAR04301	substrate=UTP; SMILES=C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O; seq_len=780; source=DLKcat	1
P09972	ENSG00000109107	ALDOC	17.9469	MAR04355	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=364; source=DLKcat	1
P09972	ENSG00000109107	ALDOC	24.2444	MAR04355	substrate=erythrose-4-phosphate; SMILES=C(C(C(C=O)O)O)OP(=O)(O)O; seq_len=364; source=DLKcat	1
P05062	ENSG00000136872	ALDOB	1.4082	MAR04355	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=364; source=DLKcat	1
P05062	ENSG00000136872	ALDOB	0.7433	MAR04355	substrate=erythrose-4-phosphate; SMILES=C(C(C(C=O)O)O)OP(=O)(O)O; seq_len=364; source=DLKcat	1
P14618	ENSG00000067225	PKM	118.6542	MAR04358	substrate=PEP; SMILES=C=C(C(=O)O)OP(=O)(O)O; seq_len=531; source=DLKcat	1
P30613	ENSG00000143627	PKLR	141.2942	MAR04358	substrate=PEP; SMILES=C=C(C(=O)O)OP(=O)(O)O; seq_len=574; source=DLKcat	1
Q8N4Q0	ENSG00000180011	PTGR3	4.6423	MAR04360	substrate=methylglyoxal; SMILES=CC(=O)C=O; seq_len=377; source=DLKcat	1
P06733	ENSG00000074800	ENO1	10.0788	MAR04363	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=434; source=DLKcat	1
P13929	ENSG00000108515	ENO3	58.0222	MAR04363	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=434; source=DLKcat	1
P09104	ENSG00000111674	ENO2	105.2464	MAR04363	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=434; source=DLKcat	1
P15259	ENSG00000164708	PGAM2	22.7537	MAR04365	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=253; source=DLKcat	1
P18669	ENSG00000171314	PGAM1	29.9958	MAR04365	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=254; source=DLKcat	1
P07738	ENSG00000172331	BPGM	40.0099	MAR04365	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=259; source=DLKcat	1
Q8N0Y7	ENSG00000226784	PGAM4	9.1185	MAR04365	substrate=2-phospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)O; seq_len=254; source=DLKcat	1
P54108	ENSG00000096006	CRISP3	36.4289	MAR04368	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=245; source=DLKcat	1
P00558	ENSG00000102144	PGK1	69.1423	MAR04368	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=417; source=DLKcat	1
P07205	ENSG00000170950	PGK2	13.8187	MAR04368	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=417; source=DLKcat	1
P07311	ENSG00000119640	ACYP1	373.9964	MAR04370	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=99; source=DLKcat	1
P14621	ENSG00000170634	ACYP2	13.3434	MAR04370	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=99; source=DLKcat	1
P15259	ENSG00000164708	PGAM2	5.8106	MAR04371	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=253; source=DLKcat	1
P18669	ENSG00000171314	PGAM1	7.6144	MAR04371	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=254; source=DLKcat	1
P07738	ENSG00000172331	BPGM	23.7025	MAR04371	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=259; source=DLKcat	1
Q8N0Y7	ENSG00000226784	PGAM4	0.6424	MAR04371	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=254; source=DLKcat	1
P07738	ENSG00000172331	BPGM	60.5846	MAR04372	substrate=2,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O; seq_len=259; source=DLKcat	1
O14556	ENSG00000105679	GAPDHS	1.7352	MAR04373	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=408; source=DLKcat	1
P04406	ENSG00000111640	GAPDH	7.7761	MAR04373	substrate=1,3-bisphospho-D-glycerate; SMILES=C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O; seq_len=335; source=DLKcat	1
P09972	ENSG00000109107	ALDOC	17.9469	MAR04375	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=364; source=DLKcat	1
P09972	ENSG00000109107	ALDOC	128.8254	MAR04375	substrate=D-glyceraldehyde 3-phosphate; SMILES=C(C(C=O)O)OP(=O)(O)O; seq_len=364; source=DLKcat	1
P05062	ENSG00000136872	ALDOB	1.4082	MAR04375	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=364; source=DLKcat	1
P05062	ENSG00000136872	ALDOB	1.3686	MAR04375	substrate=D-glyceraldehyde 3-phosphate; SMILES=C(C(C=O)O)OP(=O)(O)O; seq_len=364; source=DLKcat	1
P04075	ENSG00000149925	ALDOA	3.5804	MAR04375	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=364; source=DLKcat	1
P04075	ENSG00000149925	ALDOA	14.3111	MAR04375	substrate=D-glyceraldehyde 3-phosphate; SMILES=C(C(C=O)O)OP(=O)(O)O; seq_len=364; source=DLKcat	1
O00757	ENSG00000130957	FBP2	4.8106	MAR04377	substrate=fructose-1,6-bisphosphate; SMILES=C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O; seq_len=339; source=DLKcat	1
P09467	ENSG00000165140	FBP1	51.7770	MAR04377	substrate=fructose-1,6-bisphosphate; SMILES=C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O; seq_len=338; source=DLKcat	1
P06744	ENSG00000105220	GPI	93.0835	MAR04381	substrate=fructose-6-phosphate; SMILES=C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O; seq_len=558; source=DLKcat	1
P60174	ENSG00000111669	TPI1	485.2626	MAR04391	substrate=DHAP; SMILES=C(C(=O)COP(=O)(O)O)O; seq_len=249; source=DLKcat	1
